City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
lorengau,99,PG,1569273738,83,-2.02,147.27,299.612,299.612,2.73
sitka,0,US,1569273658,41,37.17,-99.65,303.71,303.15,4.47
talcahuano,0,CL,1569273738,63,-36.72,-73.12,291.15,291.15,6.7
cozumel,,,,,,,,,
shieli,0,KZ,1569273739,32,44.18,66.74,287.012,287.012,2.01
saravena,65,CO,1569273739,89,6.96,-71.88,299.412,299.412,0.86
srandakan,100,ID,1569273739,88,-7.94,110.25,296.212,296.212,3.94
sao jose da coroa grande,97,BR,1569273739,90,-8.9,-35.15,295.412,295.412,2.47
the valley,40,AI,1569273739,94,18.22,-63.06,302.15,298.15,5.1
luderitz,0,NA,1569273666,14,-26.65,15.16,297.15,297.15,7.7
xudat,0,AZ,1569273739,76,41.63,48.68,284.312,284.312,2.43
barga,40,IT,1569273739,82,44.07,10.48,293.15,285.93,1.5
clyde river,20,CA,1569273740,86,70.47,-68.59,274.15,274.15,5.1
saint george,20,GR,1569273661,77,39.45,22.34,292.15,291.15,0.48
kapaa,90,US,1569273631,88,22.08,-159.32,304.15,299.26,4.6
thompson,40,CA,1569273632,38,55.74,-97.86,298.15,298.15,5.1
bowmore,1,US,1569273740,35,34.94,-79.3,305.93,303.15,3.6
dikson,100,RU,1569273661,96,73.51,80.55,275.512,275.512,10.96
luban,100,CN,1569273740,73,34.19,105.09,281.312,281.312,0.8
karasburg,0,NA,1569273740,19,-28.01,18.75,286.812,286.812,3.29
sioux lookout,20,CA,1569273645,49,50.1,-91.92,293.15,293.15,3.6
souillac,0,FR,1569273661,82,45.6,-0.6,293.71,288.15,3.1
new norfolk,20,AU,1569273634,61,-42.78,147.06,282.59,280.37,5.7
hay river,90,CA,1569273740,81,60.82,-115.79,283.15,283.15,6.7
touros,40,BR,1569273639,83,-5.2,-35.46,298.15,298.15,4.6
neuquen,0,AR,1569273538,14,-38.95,-68.06,299.15,299.15,4.6
hobart,20,AU,1569273646,61,-42.88,147.33,282.59,280.37,5.7
faanui,15,PF,1569273741,81,-16.48,-151.75,299.812,299.812,6.57
lebu,75,ET,1569273633,87,8.96,38.73,288.15,288.15,1
abha,0,SA,1569273741,21,18.22,42.5,295.15,293.15,2.6
mahebourg,75,MU,1569273645,77,-20.41,57.7,294.82,294.15,7.2
santiago del estero,0,AR,1569273704,19,-27.8,-64.26,301.712,301.712,4.43
yellowknife,75,CA,1569273634,66,62.45,-114.38,282.15,282.04,5.7
port alfred,12,ZA,1569273633,80,-33.59,26.89,288.71,288.71,1.79
axim,7,GH,1569273741,91,4.87,-2.24,297.912,297.912,4.48
ponta do sol,40,BR,1569273657,55,-20.63,-46,296.412,296.412,3.56
husavik,10,CA,1569273741,40,50.56,-96.99,298.15,297.59,3.58
meyungs,,,,,,,,,
kaitangata,100,NZ,1569273643,67,-46.28,169.85,280.93,280.93,4.92
saskylakh,99,RU,1569273635,81,71.97,114.09,273.012,273.012,5.77
nishihara,75,JP,1569273741,94,35.74,139.53,299.26,294.82,2.1
batticaloa,97,LK,1569273742,94,7.71,81.69,297.312,297.312,1.6
buchanan,40,LR,1569273742,94,5.88,-10.05,298.15,298.15,5.38
arraial do cabo,90,BR,1569273640,68,-22.97,-42.02,293.15,292.15,3.1
lavrentiya,0,RU,1569273742,58,65.58,-170.99,272.812,272.812,2.45
calvinia,0,ZA,1569273742,29,-31.47,19.78,287.212,287.212,3.92
lagoa,0,PT,1569273630,82,37.14,-8.45,293.71,292.15,2.1
nador,95,MA,1569273742,78,35.17,-2.93,295.15,293.15,0.5
cayenne,0,GF,1569273675,70,4.94,-52.33,303.15,303.15,4.6
kirakira,100,SB,1569273742,76,-10.46,161.92,298.912,298.912,1.37
avarua,100,CK,1569273661,83,-21.21,-159.78,294.15,294.15,3.1
tasiilaq,100,GL,1569273643,95,65.61,-37.64,277.112,277.112,2.7
pevek,100,RU,1569273743,79,69.7,170.27,274.512,274.512,5.18
tuktoyaktuk,90,CA,1569273654,80,69.44,-133.03,277.15,277.15,2.1
hoghiz,100,RO,1569273743,58,45.99,25.31,288.71,287.04,0.45
nizhneyansk,,,,,,,,,
tumut,0,AU,1569273743,93,-35.3,148.22,277.312,277.312,0.13
jinji,90,CN,1569273743,68,22.16,112.49,295.012,295.012,1.82
severo-kurilsk,100,RU,1569273743,83,50.68,156.12,282.712,282.712,6.17
isangel,98,VU,1569273664,61,-19.55,169.27,295.712,295.712,5.41
lukavac,40,BA,1569273744,93,44.53,18.53,288.15,288.15,2.1
vaitupu,,,,,,,,,
bambous virieux,75,MU,1569273744,77,-20.34,57.76,294.82,294.15,7.2
jamsa,0,FI,1569273744,87,61.86,25.19,276.15,273.15,2.6
atar,0,MR,1569273744,14,20.52,-13.05,311.212,311.212,5.42
bonthe,86,SL,1569273744,88,7.53,-12.5,297.712,297.712,2.66
dhidhdhoo,100,MV,1569273744,87,6.88,73.1,299.312,299.312,4.85
barrow,0,AR,1569273654,60,-38.31,-60.23,293.012,293.012,4.33
quatre cocos,75,MU,1569273745,77,-20.21,57.76,294.82,294.15,7.2
ossora,100,RU,1569273745,89,59.24,163.07,279.112,279.112,2
san cristobal,83,HN,1569273666,71,14.68,-86.92,299.912,299.912,0.13
natal,20,BR,1569273745,83,-5.81,-35.21,299.15,298.15,6.2
pisco,0,PE,1569273630,30,-13.71,-76.2,295.15,292.04,3.6
lompoc,1,US,1569273646,72,34.64,-120.46,298.71,289.15,6.7
longyearbyen,75,NO,1569273745,86,78.22,15.63,275.15,275.15,4.6
bethel,40,US,1569273636,81,60.79,-161.76,280.15,280.15,6.7
cabo san lucas,40,MX,1569273496,74,22.89,-109.91,305.15,301.48,4.1
lulea,0,SE,1569273745,80,65.58,22.15,277.15,277.15,0.5
zhangjiakou,6,CN,1569273745,40,40.77,114.88,284.612,284.612,3.48
walvis bay,0,NA,1569273665,72,-22.95,14.51,289.15,288.71,4.6
teguise,20,ES,1569273746,78,29.06,-13.56,296.15,296.15,7.7
sicuani,47,PE,1569273746,13,-14.27,-71.23,289.812,289.812,0.87
deputatskiy,99,RU,1569273647,98,69.3,139.9,270.612,270.612,1.06
iralaya,20,HN,1569273746,66,15,-83.23,305.15,305.15,3.1
grindsted,34,DK,1569273746,87,55.76,8.93,287.15,286.15,3.6
hammerfest,75,NO,1569273746,80,70.66,23.68,277.15,275.15,4.1
itarema,13,BR,1569273650,75,-2.92,-39.92,298.912,298.912,5.81
victoria,75,BN,1569273652,66,5.28,115.24,302.15,298.15,2.6
cabedelo,20,BR,1569273746,83,-6.97,-34.84,298.15,298.15,5.7
kruisfontein,0,ZA,1569273643,81,-34,24.73,283.112,283.112,3.22
sakakah,,,,,,,,,
ribeira grande,20,PT,1569273635,64,38.52,-28.7,294.15,294.15,2.1
carutapera,79,BR,1569273676,76,-1.2,-46.02,299.312,299.312,3.43
aklavik,90,CA,1569273747,86,68.22,-135.01,278.15,278.15,1.5
hithadhoo,100,MV,1569273650,82,-0.6,73.08,299.412,299.412,5.17
kalga,30,RU,1569273747,66,50.92,118.9,276.812,276.812,1.02
ilulissat,75,GL,1569273647,80,69.22,-51.1,277.15,277.15,2.1
carauari,88,BR,1569273747,47,-4.88,-66.9,306.212,306.212,1.16
maceio,75,BR,1569273675,78,-9.67,-35.74,298.15,298.15,5.7
shingu,46,JP,1569273747,91,33.72,135.99,289.612,289.612,1.92
soc trang,20,VN,1569273642,100,9.6,105.98,298.15,298.15,0.5
amuntai,59,ID,1569273729,91,-2.42,115.25,295.712,295.712,0.21
smolenka,20,PL,1569273747,94,54.15,22.76,278.71,278.71,3.1
miraflores,0,PE,1569273748,21,-16.39,-71.52,294.15,294.15,5.7
norman wells,40,CA,1569273631,66,65.28,-126.83,283.15,283.15,3.6
catamarca,,,,,,,,,
cherskiy,72,RU,1569273656,93,68.75,161.3,271.712,271.712,0.78
attawapiskat,,,,,,,,,
sur,20,OM,1569273751,70,22.57,59.53,299.812,299.812,0.56
pangody,100,RU,1569273751,95,65.85,74.49,273.912,273.912,13.19
nanortalik,99,GL,1569273644,82,60.14,-45.24,278.412,278.412,1.09
moose factory,90,CA,1569273481,81,51.26,-80.61,283.15,283.15,4.6
parainen,,,,,,,,,
salalah,40,OM,1569273643,78,17.01,54.1,300.15,300.15,2.6
burkhala,,,,,,,,,
saint-pierre,0,FR,1569273751,82,48.95,4.24,288.71,286.15,4.6
vardo,90,US,1569273640,54,39.62,-77.74,303.71,298.15,2.1
tautira,20,PF,1569273669,66,-17.73,-149.15,303.15,303.15,6.7
kudahuvadhoo,100,MV,1569273639,76,2.67,72.89,301.012,301.012,6.31
izhma,100,RU,1569273752,96,65.01,53.91,274.012,274.012,3.43
tadine,92,NC,1569273752,57,-21.55,167.88,295.012,295.012,3.75
mandalgovi,0,MN,1569273752,31,45.76,106.27,285.712,285.712,1.78
korla,,,,,,,,,
zemio,69,CF,1569273752,92,5.02,25.13,294.712,294.712,0.93
bangassou,100,CF,1569273752,96,4.74,22.82,294.912,294.912,0.72
tirat karmel,0,IL,1569273752,75,32.76,34.97,294.82,294.82,0.45
tiksi,100,RU,1569273638,96,71.64,128.87,274.612,274.612,2.64
east london,2,ZA,1569273506,82,-33.02,27.91,283.212,283.212,2.47
goose creek,1,US,1569273753,28,38.32,-85.65,303.71,300.93,5.7
singaraja,57,ID,1569273753,75,-8.11,115.08,299.112,299.112,0.7
grand gaube,75,MU,1569273753,77,-20.01,57.66,294.82,294.15,7.2
iqaluit,75,CA,1569273641,69,63.75,-68.52,278.15,278.15,5.1
torbay,90,CA,1569273507,87,47.66,-52.73,290.93,287.59,10.8
patancheru,90,IN,1569273753,100,17.53,78.27,296.48,296.15,3.1
anaconda,75,US,1569273753,34,46.13,-112.94,292.04,288.15,7.2
flagstaff,90,US,1569273753,93,35.2,-111.65,290.37,282.15,3.6
labuhan,31,ID,1569273753,81,-2.54,115.51,295.312,295.312,0.58
lamar,1,US,1569273754,15,38.09,-102.62,305.15,305.15,4.6
plettenberg bay,0,ZA,1569273754,78,-34.05,23.37,283.412,283.412,1.63
vostok,89,RU,1569273754,97,46.45,135.83,280.112,280.112,2.86
khasan,0,RU,1569273754,78,42.43,130.64,284.312,284.312,2.86
kavaratti,76,IN,1569273754,79,10.57,72.64,300.912,300.912,3.76
vaike-maarja,100,EE,1569273754,64,59.13,26.25,280.512,280.512,2.68
miedzychod,0,PL,1569273755,87,52.6,15.9,287.15,285.15,4.6
burica,,,,,,,,,
richards bay,66,ZA,1569273755,66,-28.77,32.06,292.412,292.412,10.92
montepuez,0,MZ,1569273755,79,-13.13,39,293.912,293.912,2.99
sao filipe,67,CV,1569273755,83,14.9,-24.5,300.812,300.812,11.32
olafsvik,,,,,,,,,
san roque,99,ES,1569273755,73,36.21,-5.38,295.15,293.15,2.1
fez,0,MA,1569273755,53,34.03,-5.02,295.15,295.15,3.6
yarmouth,75,CA,1569273694,93,43.84,-66.12,292.59,290.15,7.7
taltal,0,CL,1569273756,66,-25.41,-70.49,288.912,288.912,2.41
ionia,40,US,1569273756,49,42.99,-85.07,294.82,292.04,5.1
padang,65,ID,1569273756,86,-0.92,100.36,298.912,298.912,4.98
kuytun,32,RU,1569273756,73,54.34,101.51,287.312,287.312,6.55
asau,,,,,,,,,
bafra,0,TR,1569273756,93,41.57,35.91,284.15,284.15,1.5
diego de almagro,17,CL,1569273756,54,-26.39,-70.05,290.412,290.412,3.33
enshi,88,CN,1569273757,77,30.29,109.48,285.212,285.212,1.34
ojinaga,1,US,1569273757,45,29.56,-104.41,303.15,303.15,0.72
ankazoabo,0,MG,1569273757,69,-22.29,44.51,293.612,293.612,4.37
gushi,100,CN,1569273757,42,32.17,115.65,292.812,292.812,1.41
nosy varika,26,MG,1569273757,94,-20.58,48.53,291.712,291.712,1.98
karamay,,,,,,,,,
constitucion,40,MX,1569273643,36,23.99,-104.67,299.26,297.15,4.1
sinnamary,37,GF,1569273632,81,5.38,-52.96,300.812,300.812,5.88
challans,90,FR,1569273560,93,46.85,-1.88,290.15,289.82,6.2
kiunga,100,PG,1569273757,96,-6.12,141.3,295.612,295.612,0.88
kismayo,,,,,,,,,
tsihombe,,,,,,,,,
leningradskiy,100,RU,1569273758,83,69.38,178.42,276.812,276.812,6.99
vestmanna,100,FO,1569273758,100,62.16,-7.17,284.15,284.15,8.7
phangnga,40,TH,1569273758,83,8.45,98.53,299.15,297.15,2.6
wanlaweyn,0,SO,1569273758,69,2.62,44.89,298.212,298.212,7.74
vestmannaeyjar,100,IS,1569273674,95,63.44,-20.27,283.712,283.712,5.8
hassleholm,0,SE,1569273758,87,56.16,13.77,283.71,279.82,4.1
maraba,20,BR,1569273758,59,-5.35,-49.1,305.15,305.15,5.1
vila franca do campo,20,PT,1569273759,78,37.72,-25.43,295.15,294.82,1.5
alyangula,0,AU,1569273759,94,-13.85,136.42,293.15,293.15,3.55
yar-sale,100,RU,1569273759,97,66.83,70.83,273.612,273.612,8.35
balkhash,0,KZ,1569273759,40,46.84,74.98,284.812,284.812,2.27
rio grande,40,BR,1569273660,77,-32.03,-52.1,289.15,288.15,4.1
marcona,,,,,,,,,
turayf,0,SA,1569273759,33,31.68,38.65,296.15,296.15,4.1
karauzyak,,,,,,,,,
rognan,0,NO,1569273759,47,67.1,15.4,279.26,277.04,4.6
merrill,40,US,1569273760,51,42.03,-121.6,292.59,290.15,2.05
mys shmidta,,,,,,,,,
hualmay,100,PE,1569273760,94,-11.1,-77.61,289.412,289.412,6.39
palabuhanratu,,,,,,,,,
bouloupari,20,NC,1569273760,64,-21.87,166.05,296.48,295.15,1
helong,0,CN,1569273760,72,25.94,116.13,287.712,287.712,0.85
port elizabeth,1,US,1569273636,45,39.31,-74.98,306.15,298.71,3.6
poum,90,MK,1569273635,87,41.28,20.71,286.15,286.15,1
nakhon phanom,3,LA,1569273760,80,17.4,104.79,292.412,292.412,0.99
lithgow,0,AU,1569273760,87,-33.48,150.16,282.04,278.71,0.99
rocha,0,UY,1569273645,74,-34.48,-54.34,286.912,286.912,2.47
hami,0,CN,1569273761,16,42.84,93.51,291.912,291.912,1.11
krasnoye,0,RU,1569273761,93,44.87,39.46,284.82,282.15,2
varhaug,0,NO,1569273761,76,58.61,5.65,287.04,284.15,3.6
bredasdorp,0,ZA,1569273654,81,-34.53,20.04,282.15,282.04,1
santa maria,0,BR,1569273761,32,-16.02,-48.01,302.15,299.26,5.7
mackenzie,90,CA,1569273761,87,55.34,-123.09,280.15,280.15,5.7
yomou,100,GN,1569273761,97,7.57,-9.26,295.112,295.112,1.77
nadym,100,RU,1569273762,89,65.53,72.51,274.612,274.612,9.77
vysha,24,RU,1569273762,84,53.85,42.38,275.012,275.012,3.82
beringovskiy,0,RU,1569273634,41,63.05,179.32,275.312,275.312,4.62
tarudant,,,,,,,,,
conceicao do araguaia,100,BR,1569273762,37,-8.26,-49.26,306.212,306.212,0.48
hamilton,40,CA,1569273497,73,43.26,-79.87,297.59,292.15,7.2
tumannyy,,,,,,,,,
santo tomas,10,PH,1569273762,23,7.53,125.62,295.93,295.93,0.84
jacksonville,75,US,1569273748,48,30.33,-81.66,305.15,300.15,4.1
karratha,100,AU,1569273692,49,-20.74,116.85,291.612,291.612,8.11
vreed en hoop,,,,,,,,,
kalmunai,97,LK,1569273762,94,7.42,81.82,297.312,297.312,1.6
eyl,55,SO,1569273762,76,7.98,49.82,296.412,296.412,10.4
brufut,67,GM,1569273763,83,13.38,-16.75,300.812,300.812,4.03
sapa,20,PH,1569273763,83,14.32,120.76,300.15,299.26,1.5
barcelos,100,BR,1569273763,84,-0.97,-62.93,300.612,300.612,1.32
whittlesea,75,AU,1569273763,75,-37.51,145.12,283.15,275.93,3.6
villiers,0,ZA,1569273763,77,-27.03,28.6,284.512,284.512,7.24
tabou,100,CI,1569273763,95,4.42,-7.36,297.012,297.012,1.57
santa cruz de la palma,90,ES,1569273763,83,28.68,-17.76,295.15,292.04,3.6
tuatapere,100,NZ,1569273763,93,-46.13,167.69,279.26,279.26,3.13
margate,20,AU,1569273647,61,-43.03,147.26,282.59,280.37,5.7
numaligarh,100,IN,1569273764,99,26.63,93.73,293.812,293.812,1.06
katsuura,75,JP,1569273674,78,33.93,134.5,295.15,293.71,2.6
kargasok,100,RU,1569273764,60,59.06,80.87,281.712,281.712,6.15
kahului,40,US,1569273655,49,20.89,-156.47,306.15,300.37,9.3
tambilil,69,PH,1569273764,80,5.96,124.67,298.212,298.212,2.13
college,1,US,1569273764,49,64.86,-147.8,284.26,279.82,0.77
dauphin,1,CA,1569273764,34,51.15,-100.04,300.15,300.15,8.2
nhamunda,41,BR,1569273764,40,-2.19,-56.71,306.912,306.912,0.52
flinders,0,AU,1569273765,66,-34.58,150.85,285.37,281.48,5.7
ca mau,24,VN,1569273751,94,9.18,105.15,297.512,297.512,1.81
dariba,0,IN,1569273765,91,24.95,74.13,295.712,295.712,0.86
derbent,0,RU,1569273765,59,42.06,48.29,283.512,283.512,1.8
paungde,51,MM,1569273765,92,18.49,95.51,296.812,296.812,0.72
haines junction,99,CA,1569273765,64,60.75,-137.51,277.512,277.512,1.37
yerbogachen,38,RU,1569273765,82,61.28,108.01,276.312,276.312,4.98
pringsewu,2,ID,1569273765,92,-5.36,104.98,294.412,294.412,1.23
berezovyy,82,RU,1569273766,91,51.67,135.7,275.212,275.212,0.98
zhaoqing,17,CN,1569273766,68,23.05,112.47,291.912,291.912,0.99
jiayuguan,0,CN,1569273766,32,39.77,98.29,287.112,287.112,0.76
cap malheureux,75,MU,1569273766,77,-19.98,57.61,294.82,294.15,7.2
salamanca,75,MX,1569273766,41,20.57,-101.19,299.82,299.15,2.1
inuvik,90,CA,1569273766,100,68.36,-133.71,278.15,278.15,3.6
noumea,20,NC,1569273767,64,-22.28,166.46,296.48,295.15,1
san juan,93,AR,1569273767,19,-31.54,-68.53,289.412,289.412,4.25
nantucket,1,US,1569273693,88,41.28,-70.1,296.15,293.71,6.7
dunedin,100,NZ,1569273767,48,-45.87,170.5,283.71,283.71,8.49
satitoa,,,,,,,,,
saint anthony,1,US,1569273671,39,43.97,-111.68,294.15,292.15,5.1
saint-francois,0,FR,1569273767,87,46.42,3.91,286.15,282.59,0.5
narsaq,95,GL,1569273653,75,60.91,-46.05,279.15,279.15,1.5
litovko,1,RU,1569273767,87,49.24,135.18,279.512,279.512,1.04
maniitsoq,100,GL,1569273768,85,65.42,-52.9,277.512,277.512,3.49
inta,100,RU,1569273768,86,66.04,60.13,274.612,274.612,6.5
port blair,100,IN,1569273657,83,11.67,92.75,300.012,300.012,5.58
dwarka,40,IN,1569273768,88,28.58,77.04,298.15,298.15,2.6
bonavista,100,CA,1569273768,85,48.65,-53.11,289.82,289.82,7.15
imisli,,,,,,,,,
tura,100,RU,1569273768,95,64.27,100.22,276.512,276.512,2.14
halalo,,,,,,,,,
chapais,90,CA,1569273768,81,49.78,-74.86,284.15,284.15,2.6
bonfim,30,GY,1569273768,54,3.36,-59.84,304.312,304.312,1.78
airai,4,TL,1569273649,89,-8.93,125.41,293.912,293.912,1.6
waingapu,57,ID,1569273769,93,-9.65,120.26,293.712,293.712,3.35
rundu,0,NA,1569273769,14,-17.91,19.77,298.15,298.15,3.1
sorland,0,NO,1569273647,86,67.67,12.69,277.15,277.15,0.5
camana,,,,,,,,,
vao,100,EE,1569273769,64,59.1,26.19,280.512,280.512,2.68
rutul,0,RU,1569273769,54,41.53,47.42,288.15,288.15,5.1
bandarbeyla,32,SO,1569273661,71,9.49,50.81,297.412,297.412,6.36
kabul,0,AF,1569273523,63,34.53,69.18,290.15,288.15,1.5
sipe sipe,20,BO,1569273770,16,-17.45,-66.36,302.15,302.15,1.5
bara,20,NG,1569273770,79,10.41,10.6,298.912,298.912,2.95
altamira,70,BR,1569273770,43,-3.2,-52.21,305.912,305.912,1.78
opuwo,2,NA,1569273770,36,-18.06,13.84,291.712,291.712,1.96
port hedland,87,AU,1569273770,59,-20.31,118.58,291.15,291.15,4.6
zhigansk,51,RU,1569273770,90,66.77,123.37,271.512,271.512,1.42
klaksvik,100,FO,1569273671,100,62.23,-6.59,284.15,284.15,8.7
belyy yar,0,RU,1569273770,87,53.6,91.39,282.15,282.15,1
henties bay,0,NA,1569273771,84,-22.12,14.28,288.71,288.71,1.34
samarai,76,PG,1569273771,91,-10.62,150.67,295.312,295.312,1.87
port hardy,90,CA,1569273771,87,50.7,-127.42,285.15,285.15,6.2
mollendo,83,PE,1569273771,86,-17.03,-72.02,289.612,289.612,3.6
carman,20,CA,1569273574,36,49.51,-98,299.26,295.37,7.2
berlevag,40,NO,1569273771,80,70.86,29.09,278.15,275.15,10.8
nadadores,0,MX,1569273771,42,27.03,-101.59,303.612,303.612,3.39
tamiahua,100,MX,1569273771,72,21.28,-97.45,301.912,301.912,4.32
los llanos de aridane,90,ES,1569273772,83,28.66,-17.92,295.15,292.04,3.6
jinchang,0,CN,1569273772,47,38.52,102.19,284.112,284.112,1.23
shumyachi,0,RU,1569273772,84,53.86,32.43,274.112,274.112,1.78
atbasar,100,KZ,1569273772,70,51.81,68.36,278.712,278.712,8.99
tabiauea,,,,,,,,,
entre rios,77,BR,1569273772,93,-11.94,-38.08,293.612,293.612,2.59
grand centre,,,,,,,,,
mikuni,75,JP,1569273773,100,36.22,136.15,292.15,292.15,2.6
trincomalee,100,LK,1569273773,95,8.58,81.23,296.312,296.312,2
mangochi,25,MW,1569273773,44,-14.48,35.26,294.912,294.912,0.56
yeppoon,100,AU,1569273773,88,-23.13,150.74,290.15,290.15,0.8
san patricio,0,PY,1569273657,58,-26.98,-56.83,296.212,296.212,2.39
montijo,0,ES,1569273773,46,38.91,-6.62,295.15,294.82,1.5
kysyl-syr,72,RU,1569273773,93,63.9,122.77,272.812,272.812,2.46
hunza,,,,,,,,,
praia da vitoria,20,PT,1569273774,68,38.73,-27.07,295.15,295.15,5.71
trairi,0,BR,1569273774,75,-3.28,-39.27,298.312,298.312,3.01
quimper,90,FR,1569273774,100,48,-4.1,290.37,289.82,5.7
burhaniye,0,TR,1569273774,62,39.51,26.98,292.15,287.04,2.1
salisbury,100,GB,1569273774,100,51.07,-1.8,290.15,288.71,6.7
igrim,100,RU,1569273774,82,63.19,64.42,274.112,274.112,3.82
ciudad bolivar,3,VE,1569273774,66,8.12,-63.55,301.512,301.512,3.48
cassia,40,US,1569273774,54,28.89,-81.47,304.26,300.37,3.1
