City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
kaitangata,0,NZ,1569032763,69,-46.28,169.85,284.82,5.36
grand gaube,20,MU,1569033224,68,-20.01,57.66,294.15,3.6
bagotville,90,AU,1569033224,78,-28.98,153.42,299.15,7.7
qaanaaq,0,GL,1569032736,40,77.48,-69.36,266.36,2.83
the pas,1,CA,1569033224,93,53.82,-101.24,285.15,1.01
muros,75,ES,1569033225,87,42.77,-9.06,294.26,4.1
shihezi,0,CN,1569033225,18,44.3,86.03,300.76,2.41
lagoa,75,PT,1569032734,82,37.14,-8.45,294.26,2.1
cidreira,0,BR,1569032751,65,-30.17,-50.22,284.66,2.35
rognan,20,NO,1569033225,67,67.1,15.4,273.71,1.5
arlit,0,NE,1569033225,11,18.74,7.39,304.46,5.85
mecca,5,SA,1569032751,31,21.43,39.83,299.96,0.4
popondetta,100,PG,1569033225,84,-8.77,148.24,296.46,1.09
illoqqortoormiut,,,,,,,,
touros,75,BR,1569032756,88,-5.2,-35.46,296.15,1
husavik,100,CA,1569033226,94,50.56,-96.99,292.59,1.34
lavrentiya,96,RU,1569033226,76,65.58,-170.99,274.06,4.85
fukue,75,JP,1569033226,78,35.03,136.69,298.15,4.6
saldanha,78,PT,1569032748,75,41.42,-6.55,289.46,1.63
charters towers,0,AU,1569033226,26,-20.07,146.27,301.46,5.68
vaitupu,,,,,,,,
dergaon,0,IN,1569033226,62,26.71,93.97,301.96,1.43
ljungby,60,SE,1569033227,93,56.83,13.94,286.15,3.6
mataura,13,NZ,1569032728,69,-46.19,168.86,286.48,4.47
tautira,75,PF,1569033227,69,-17.73,-149.15,301.15,2.1
adolfo lopez mateos,100,MX,1569033227,74,26.8,-109.39,302.04,1.53
new norfolk,75,AU,1569032722,77,-42.78,147.06,292.04,3.6
sentyabrskiy,,,,,,,,
harper,40,US,1569033227,65,30.3,-99.24,301.15,4.6
grand river south east,,,,,,,,
norman wells,75,CA,1569033075,54,65.28,-126.83,287.15,6.7
mar del plata,0,AR,1569032753,40,-46.43,-67.52,279.56,10.36
daru,96,PG,1569033228,70,-9.07,143.21,300.26,5.55
aflu,,,,,,,,
tuku,75,TW,1569033228,61,23.68,120.39,305.93,8.7
verkhnyaya sinyachikha,42,RU,1569033228,84,57.98,61.67,275.16,1.71
solnechnyy,32,RU,1569033228,61,50.72,136.64,288.46,1.83
nanortalik,100,GL,1569032767,81,60.14,-45.24,277.46,0.52
aketi,100,CD,1569033228,97,2.74,23.78,292.96,0.78
vanavara,81,RU,1569033228,73,60.35,102.28,284.26,5.3
nome,1,US,1569033229,88,30.04,-94.42,302.04,2.1
alofi,40,NU,1569032735,61,-19.06,-169.92,298.15,6.2
bontang,3,ID,1569033229,46,0.12,117.47,307.16,1.66
tessalit,0,ML,1569033229,10,20.2,1.01,303.56,3.66
sekoma,0,BW,1569033229,24,-24.51,23.93,289.86,5.39
chiang klang,40,TH,1569033229,88,19.29,100.86,299.15,1.5
petropavlovsk-kamchatskiy,35,RU,1569033127,62,53.05,158.65,287.15,5
provideniya,7,RU,1569032748,62,64.42,-173.23,275.06,2.77
umm lajj,0,SA,1569033230,67,25.02,37.27,303.06,6.63
talnakh,75,RU,1569033230,93,69.49,88.39,280.15,5
parati,40,BR,1569033230,78,-20.51,-54.63,297.15,5.1
port lincoln,35,AU,1569033230,65,-34.72,135.86,284.36,9.12
kenmare,0,IE,1569033230,90,51.88,-9.58,286.06,4.32
salalah,40,OM,1569032750,83,17.01,54.1,298.15,1
aracati,0,BR,1569033231,76,-4.56,-37.77,296.96,3.21
baruun-urt,0,MN,1569032767,41,46.68,113.28,289.66,5.91
san clemente,1,US,1569033089,77,33.43,-117.61,296.15,1.5
necochea,0,AR,1569033231,85,-38.55,-58.74,283.15,0.89
katsuura,75,JP,1569033231,73,33.93,134.5,297.04,2.6
uruzgan,0,AF,1569033231,14,32.93,66.63,289.66,4.25
aksha,16,RU,1569033231,41,50.28,113.29,290.26,1.24
antsohihy,0,MG,1569033232,59,-14.88,47.99,295.76,9.79
altay,67,CN,1569033232,30,47.83,88.13,288.96,1.02
chuy,0,UY,1569033232,70,-33.69,-53.46,282.26,3.92
barrow,0,AR,1569032725,33,-38.31,-60.23,283.16,6.87
narsaq,75,GL,1569032743,65,60.91,-46.05,278.15,1.5
puerto madero,0,AR,1569033232,26,-34.61,-58.36,288.15,1
ilulissat,100,GL,1569032729,80,69.22,-51.1,277.15,3.1
kodiak,75,US,1569032740,83,39.95,-94.76,297.15,3.6
asau,,,,,,,,
amos,75,CA,1569033233,87,48.57,-78.12,289.15,1
thompson,90,CA,1569032724,93,55.74,-97.86,289.15,3.1
atar,98,MR,1569032749,27,20.52,-13.05,308.36,6.21
svetlaya,97,RU,1569033233,71,46.54,138.33,285.56,5.17
lesnoye,0,RU,1569033233,94,51.57,42.77,275.93,2.1
gasa,73,BT,1569033233,82,27.91,89.73,276.76,2.45
lake saint louis,1,US,1569033233,94,38.8,-90.79,297.04,2.6
kampene,100,CD,1569033233,98,-3.59,26.67,293.26,0.97
nangomba,1,TZ,1569033234,90,-10.9,38.52,291.26,0.34
salamanca,75,MX,1569033033,72,20.57,-101.19,293.15,3.1
tongren,100,CN,1569033234,79,27.72,109.18,293.16,1.03
magdalena,90,PH,1569033234,88,14.2,121.43,303.15,3.1
maneadero,,,,,,,,
tilichiki,13,RU,1569033234,38,60.47,166.1,280.86,3.9
sidi ali,100,DZ,1569033234,71,36.1,0.42,298.66,10.76
port arthur,1,US,1569033235,88,29.9,-93.93,300.15,2.1
paita,100,PE,1569033235,93,-5.09,-81.11,289.56,6.6
grindavik,90,IS,1569033235,93,63.84,-22.43,285.15,13.4
carnarvon,20,ZA,1569032735,45,-30.97,22.13,287.36,2.38
chontalpa,4,MX,1569033235,91,17.7,-93.52,297.76,1.89
attawapiskat,,,,,,,,
praia,0,BR,1569033235,57,-20.25,-43.81,298.15,3.6
callaguip,75,PH,1569033235,66,18.07,120.49,302.15,2.6
banjar,68,ID,1569033236,60,-7.37,108.54,300.46,2.27
eureka,1,US,1569033024,72,40.8,-124.16,291.15,3.1
osakarovka,83,KZ,1569033236,45,50.56,72.58,285.36,0.93
bambous virieux,20,MU,1569032735,68,-20.34,57.76,294.15,3.6
felipe carrillo puerto,100,MX,1569033236,81,19.58,-88.05,298.16,1.08
vilhena,7,BR,1569033236,49,-12.74,-60.15,299.56,0.92
dhidhdhoo,67,MV,1569033236,76,6.88,73.1,301.46,4.77
verkhoyansk,100,RU,1569032749,84,67.55,133.39,276.96,2.26
wadi musa,0,JO,1569032748,89,30.32,35.48,291.06,1.42
saint-pierre,0,FR,1569033237,66,48.95,4.24,286.15,2.6
vernon,1,CA,1569033019,81,50.27,-119.27,285.15,1.5
galveston,1,US,1569033237,88,40.58,-86.19,297.04,2.6
durban,66,CA,1569033237,90,51.93,-101.44,286.96,2.35
changchun,0,CN,1569033018,52,43.88,125.32,295.37,2
pasni,0,PK,1569033237,62,25.26,63.48,299.86,1.3
san cristobal,31,HN,1569033238,88,14.68,-86.92,293.16,0.2
ucluelet,20,CA,1569033052,72,48.94,-125.55,290.15,3.1
rimouski,75,CA,1569033238,67,48.45,-68.52,288.15,4.6
martapura,1,ID,1569033147,53,-3.41,114.85,305.16,4
lemesos,,,,,,,,
buta,99,CD,1569033238,94,2.79,24.73,292.46,0.67
vilcun,75,CL,1569033238,100,-38.65,-72.23,278.15,0.5
haines junction,100,CA,1569033238,95,60.75,-137.51,277.66,4.1
vanimo,39,PG,1569033239,71,-2.67,141.3,301.06,4.42
tezu,26,IN,1569033239,58,27.93,96.16,301.56,1.2
amderma,,,,,,,,
uulu,100,EE,1569033239,92,58.28,24.58,283.71,4.47
umzimvubu,,,,,,,,
berlevag,100,NO,1569032759,82,70.86,29.09,277.56,6.32
bonavista,100,CA,1569033239,86,48.65,-53.11,283.71,0.89
mys shmidta,,,,,,,,
port alfred,0,ZA,1569032730,85,-33.59,26.89,289.82,0.45
haapiti,75,PF,1569033239,69,-17.57,-149.87,301.15,2.1
saryshagan,,,,,,,,
dunedin,0,NZ,1569033240,63,-45.87,170.5,287.59,2.24
kuche,,,,,,,,
aklavik,75,CA,1569032762,66,68.22,-135.01,283.15,4.6
mehamn,100,NO,1569033240,95,71.03,27.85,275.16,5.37
dingle,100,PH,1569032754,74,11,122.67,301.66,6.28
souillac,0,FR,1569032729,72,45.6,-0.6,292.59,3.6
takoradi,58,GH,1569033240,97,4.89,-1.75,295.76,1.11
longyan,0,CN,1569033240,43,25.1,117.03,298.26,3.23
labutta,,,,,,,,
shache,0,CN,1569033241,87,38.42,77.24,289.26,0.69
sur,36,OM,1569032495,43,22.57,59.53,301.76,2.62
alexandria,44,RO,1569032713,80,43.97,25.33,278.15,2.16
oranjestad,20,AW,1569033241,74,12.52,-70.03,302.15,3.1
toledo,0,ES,1569033059,90,39.86,-4.02,292.04,1.89
karkaralinsk,,,,,,,,
pisco,0,PE,1569032751,87,-13.71,-76.2,289.82,5.7
lamu,0,CN,1569033241,51,35.77,102.37,284.26,0.68
minyar,65,RU,1569033242,95,55.07,57.55,276.56,1.1
umm durman,,,,,,,,
tumannyy,,,,,,,,
hasaki,75,JP,1569032605,64,35.73,140.83,298.15,5.1
ribeira grande,53,PT,1569032731,69,38.52,-28.7,293.56,10.05
pokrovka,0,RU,1569033242,49,43.95,131.63,291.86,5.82
rawson,97,AR,1569033242,39,-43.3,-65.11,283.96,12.48
vallenar,0,CL,1569033242,71,-28.58,-70.76,282.56,0.58
nizhneyansk,,,,,,,,
port macquarie,100,AU,1569033242,44,-31.43,152.91,297.15,6.7
san luis,0,AR,1569033243,15,-33.3,-66.34,285.36,4.45
fomboni,71,KM,1569033243,82,-12.28,43.74,298.06,5.04
narnaul,8,IN,1569033243,57,28.04,76.11,302.26,2.67
badvel,75,IN,1569033243,78,14.74,79.07,300.15,2.19
fairbanks,90,US,1569033243,81,64.84,-147.72,284.15,2.1
samana,100,EC,1569033243,98,0.12,-76.97,295.46,1.16
robertsport,100,LR,1569033244,95,6.75,-11.37,296.96,3.16
vilyuysk,0,RU,1569033145,60,63.75,121.63,279.96,3.43
tawau,75,MY,1569033244,79,4.26,117.89,302.15,2.1
waipawa,9,NZ,1569033244,56,-39.94,176.59,289.26,1.34
tuktoyaktuk,75,CA,1569033021,81,69.44,-133.03,280.15,5.7
bo rai,90,TH,1569033244,100,12.57,102.54,300.37,1.5
srednekolymsk,0,RU,1569033245,40,67.46,153.71,277.46,4.22
lakes entrance,100,AU,1569033245,50,-37.88,147.99,296.48,4.47
biltine,0,TD,1569033245,20,14.53,20.93,303.26,3.5
hovd,90,NO,1569032765,81,63.83,10.7,286.48,7.7
amahai,70,ID,1569033245,84,-3.31,129,298.86,4.01
kovdor,70,RU,1569033245,97,67.56,30.47,272.56,1.72
igrim,0,RU,1569033245,87,63.19,64.42,273.56,3.93
north adams,1,US,1569033245,74,42.7,-73.11,288.15,1.13
weihe,59,CN,1569033246,56,32.99,105.33,297.59,1.88
coquimbo,0,CL,1569033246,76,-29.95,-71.34,285.15,1.5
phan rang,,,,,,,,
chingirlau,100,KZ,1569033246,89,51.09,54.08,282.56,3.9
mosquera,75,CO,1569033246,87,4.71,-74.23,285.15,2.6
prince rupert,90,CA,1569033242,82,54.32,-130.32,288.15,7.7
mandalgovi,57,MN,1569033246,28,45.76,106.27,292.06,5.61
oak harbor,63,US,1569033247,88,41.51,-83.15,296.48,1.5
pochutla,90,MX,1569033247,65,15.74,-96.47,299.82,3.6
marawi,74,PH,1569033247,71,8,124.29,302.59,2.24
agadez,1,NE,1569033247,23,16.97,7.99,301.15,3.35
chakulia,75,IN,1569033247,79,22.48,86.72,302.15,1
emba,0,CY,1569033247,72,34.81,32.42,293.15,4.1
la ronge,75,CA,1569032722,93,55.1,-105.3,286.15,2.1
jiangyou,49,CN,1569033248,49,31.78,104.73,295.36,0.86
guerrero negro,0,MX,1569032756,79,27.97,-114.04,293.16,7.98
okha,20,RU,1569033248,63,53.59,142.95,286.56,4.21
kangaatsiaq,100,GL,1569033248,72,68.31,-53.46,279.06,9.1
ancud,90,CL,1569032757,100,-41.87,-73.83,280.15,3.1
hambantota,40,LK,1569033248,100,6.12,81.12,299.15,2.6
talcahuano,0,CL,1569033248,81,-36.72,-73.12,282.15,5.1
pangody,77,RU,1569033248,73,65.85,74.49,276.16,10.95
turukhansk,100,RU,1569033249,88,65.8,87.96,278.96,10.8
itatuba,75,BR,1569033249,100,-7.38,-35.63,294.15,4.1
ginir,72,ET,1569033159,83,7.14,40.71,287.66,2.64
victoria,75,BN,1569032455,74,5.28,115.24,303.15,1.5
rio gallegos,0,AR,1569033249,74,-51.62,-69.22,275.15,10.8
tigzirt,100,DZ,1569033249,36,36.57,4.2,296.46,0.82
nishihara,75,JP,1569033249,69,35.74,139.53,298.71,3.6
puerto escondido,90,MX,1569033073,65,15.86,-97.07,299.15,3.6
burica,,,,,,,,
iqaluit,90,CA,1569032724,93,63.75,-68.52,277.15,11.8
santo angelo,0,BR,1569033250,93,-28.3,-54.26,284.82,3.6
faanui,100,PF,1569033250,78,-16.48,-151.75,299.16,5.38
vila franca do campo,20,PT,1569032737,72,37.72,-25.43,294.82,4.6
ilebo,100,CD,1569033250,97,-4.33,20.59,294.26,0.86
myre,100,SE,1569033250,81,62.25,17.37,285.93,3.6
khatanga,100,RU,1569032728,87,71.98,102.47,277.96,8.7
mandera,22,ET,1569033250,68,3.94,41.86,295.86,3.85
anadyr,75,RU,1569033251,69,64.73,177.51,277.15,4
pedasi,94,PA,1569033251,92,7.53,-80.03,296.56,1.87
matagami,40,NG,1569033251,95,9.67,8.4,292.66,0.95
aksarka,0,RU,1569033188,80,66.56,67.8,275.36,7.54
shimoda,75,JP,1569033251,73,34.7,138.93,299.82,9.3
jiexiu,0,CN,1569033251,43,37.02,111.92,291.86,2.72
tarhunah,,,,,,,,
marcona,,,,,,,,
manikganj,,,,,,,,
pemangkat,,,,,,,,
macaboboni,,,,,,,,
amapa,20,HN,1569033252,78,15.09,-87.97,300.15,2.1
mosetse,0,BW,1569033252,52,-20.64,26.64,288.16,4.5
winneba,75,GH,1569033252,94,5.35,-0.62,298.15,3.6
lawrenceburg,1,US,1569033252,77,35.24,-87.33,296.48,2.44
galway,20,IE,1569033252,82,53.27,-9.05,286.15,6.7
swan hill,37,AU,1569033253,43,-35.34,143.56,290.76,8.59
kamaishi,75,JP,1569033253,63,39.28,141.86,290.15,1
buraydah,0,SA,1569033253,41,26.33,43.97,297.15,1.5
acapulco,40,MX,1569033253,79,16.86,-99.88,302.15,2.1
gumdag,0,TM,1569033253,23,39.2,54.59,298.06,3.56
kandrian,98,PG,1569033253,88,-6.21,149.55,299.16,3.72
severo-yeniseyskiy,100,RU,1569032758,78,60.37,93.04,279.96,6.83
mashhad,0,IR,1569033254,42,36.3,59.61,291.15,2.1
los lunas,1,US,1569033191,16,34.81,-106.76,299.26,4.1
petropavlovka,0,RU,1569033254,51,50.61,105.32,289.86,1.43
aldan,100,RU,1569033254,91,58.61,125.39,275.86,1.89
olinda,75,AU,1569033254,76,-37.84,145.39,289.82,7.7
georgetown,20,GY,1569032761,88,6.8,-58.16,298.15,2.1
jos,0,NG,1569033254,88,9.92,8.9,292.56,0.82
torbay,90,CA,1569032709,93,47.66,-52.73,285.93,1
fort nelson,90,CA,1569033254,51,58.81,-122.69,289.15,2.1
kruisfontein,0,ZA,1569032753,87,-34,24.73,286.06,3.66
sinnamary,100,GF,1569033255,78,5.38,-52.96,300.46,2.66
kloulklubed,75,PW,1569032739,83,7.04,134.26,302.15,4.6
gunjur,75,GM,1569033255,94,13.18,-16.76,295.15,2.97
margate,75,AU,1569033255,77,-43.03,147.26,292.59,3.6
varkaus,0,FI,1569033255,100,62.32,27.87,274.26,0.94
bentiu,,,,,,,,
chippewa falls,1,US,1569033256,94,44.94,-91.39,298.15,3.1
novokruchininskiy,1,RU,1569033256,66,51.78,113.77,284.15,1
mata,100,PT,1569033256,87,40.68,-7.46,292.04,2.49
saskylakh,46,RU,1569032724,65,71.97,114.09,276.56,11.67
panino,0,RU,1569033256,93,51.65,40.13,274.15,3
kahului,40,US,1569033256,48,20.89,-156.47,304.15,9.8
bay roberts,90,CA,1569033256,93,47.58,-53.28,285.93,1
carutapera,37,BR,1569033257,84,-1.2,-46.02,298.26,2.45
bandarbeyla,99,SO,1569033257,71,9.49,50.81,297.56,10.31
evensk,95,RU,1569032751,51,61.92,159.24,280.46,2.51
sibu,75,MY,1569033257,74,2.29,111.83,301.15,2.1
xuddur,42,SO,1569033257,76,4.12,43.89,294.06,6.2
beihai,0,CN,1569033257,69,38.95,121.19,297.04,3
vardo,1,US,1569033026,82,39.62,-77.74,291.48,0.8
tiarei,75,PF,1569033258,69,-17.53,-149.33,301.15,2.1
jinchang,0,CN,1569033258,23,38.52,102.19,289.36,1.5
asyut,0,EG,1569033258,53,27.18,31.19,298.15,3.6
omboue,100,GA,1569033258,88,-1.57,9.26,297.46,3.4
geraldton,75,CA,1569033258,87,49.72,-86.95,289.15,2.1
boguchany,33,RU,1569033258,62,58.38,97.46,285.56,5.6
ketchikan,90,US,1569033258,100,55.34,-131.65,287.15,8.2
olafsvik,,,,,,,,
hami,4,CN,1569032724,17,42.84,93.51,298.76,1.98
egvekinot,99,RU,1569033259,65,66.32,-179.17,273.06,2.34
iisalmi,0,FI,1569033259,93,63.56,27.19,276.15,1.5
citta di castello,0,IT,1569033259,71,43.47,12.23,285.37,3.6
taoudenni,0,ML,1569032743,16,22.68,-3.98,306.86,2.84
tahe,100,CN,1569033259,48,52.34,124.71,284.66,2.43
tsihombe,,,,,,,,
santa rosa,0,AR,1569033260,20,-36.62,-64.29,282.66,3.42
ayr,64,AU,1569033260,59,-19.58,147.4,299.26,4.92
laguna,20,BZ,1569033260,94,16.17,-88.94,299.15,1.25
mount gambier,75,AU,1569033260,81,-37.83,140.78,285.15,6.2
madera,1,US,1569033260,36,36.96,-120.06,302.15,3.1
campo do brito,75,BR,1569033260,69,-10.75,-37.49,299.15,5.7
airai,1,TL,1569032742,51,-8.93,125.41,301.06,3.14
balkanabat,0,TM,1569033261,55,39.51,54.36,297.16,0.6
sitka,2,US,1569032721,71,37.17,-99.65,297.04,4.92
baudh,0,IN,1569033261,81,20.84,84.32,300.86,2.46
vaerlose,5,DK,1569033261,100,55.78,12.37,286.48,2.1
camana,,,,,,,,
saint-alexandre,0,FR,1569033261,82,44.23,4.62,292.15,1.5
sorland,100,NO,1569033261,67,67.67,12.69,280.96,5.8
manicore,8,BR,1569033262,51,-5.81,-61.3,300.76,0.76
qianan,5,CN,1569033262,43,44.99,124.06,290.86,3.56
ust-nera,100,RU,1569033262,94,64.57,143.24,274.56,0.35
undory,40,RU,1569033262,93,54.61,48.39,277.15,4.13
peniche,75,PT,1569033262,93,39.36,-9.38,293.15,4.1
meulaboh,80,ID,1569033263,78,4.14,96.13,300.46,2.16
altamira,1,BR,1569032990,68,-3.2,-52.21,298.76,1.51
siavonga,35,ZW,1569033263,52,-16.54,28.71,291.46,3.19
mitchell,1,US,1569033263,65,43.71,-98.03,299.15,8.7
trincomalee,98,LK,1569033263,57,8.58,81.23,303.36,3.31
vila velha,75,BR,1569033263,69,-3.71,-38.6,300.15,7.7
svetlyy,,,,,,,,
mutoko,0,ZW,1569033263,74,-17.4,32.23,282.66,1.15
aitape,99,PG,1569032765,81,-3.15,142.36,299.36,2.24
maceio,40,BR,1569033070,94,-9.67,-35.74,295.15,1.4
